Date,Station,Water_Temp_C,Dissolved_Oxygen_mgL,Discharge_m3s,E_Coli_CFU
2026-07-25 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.8,5.26,51.9,193.0
2026-07-26 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.5,5.5,61.1,150.0
2026-07-27 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.4,5.65,52.0,128.0
2026-07-28 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.9,5.63,51.5,125.0
2026-07-29 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.9,5.46,51.8,163.0
2026-07-30 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.3,5.6,54.9,180.0
2026-07-31 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.2,5.74,58.3,159.0
2026-08-01 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.8,5.12,56.1,144.0
2026-08-02 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.8,5.68,54.9,137.0
2026-08-03 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),22.1,5.14,49.6,275.0
2026-08-04 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.8,5.53,50.1,132.0
2026-08-05 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.2,5.95,46.3,141.0
2026-08-06 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.2,5.91,45.4,286.0
2026-08-07 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.0,5.49,42.4,143.0
2026-08-08 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.8,5.67,44.4,335.0
2026-08-09 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.3,5.3,54.3,165.0
2026-08-10 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.2,5.67,48.4,216.0
2026-08-11 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.1,5.24,47.0,144.0
2026-08-12 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.2,4.93,42.7,376.0
2026-08-13 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.6,5.52,44.9,144.0
2026-08-14 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.2,6.2,40.8,446.0
2026-08-15 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.1,5.61,36.9,146.0
2026-08-16 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.5,6.2,46.0,306.0
2026-08-17 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.4,5.32,45.4,169.0
2026-08-18 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.6,5.72,48.7,142.0
2026-08-19 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.7,5.93,36.0,130.0
2026-08-20 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.0,5.31,44.9,200.0
2026-08-21 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.5,5.71,42.2,136.0
2026-08-22 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),21.0,5.89,46.2,398.0
2026-08-23 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.7,5.57,32.1,232.0
2026-08-24 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.5,6.05,36.0,140.0
2026-08-25 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.5,5.61,32.5,255.0
2026-08-26 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.0,6.08,36.2,137.0
2026-08-27 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.3,6.09,37.7,133.0
2026-08-28 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.0,5.79,39.7,136.0
2026-08-29 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.3,5.91,37.5,264.0
2026-08-30 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.7,5.27,36.3,162.0
2026-08-31 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.6,5.44,36.0,164.0
2026-09-01 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.4,6.35,28.8,315.0
2026-09-02 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.2,6.35,32.4,148.0
2026-09-03 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.7,5.65,37.2,140.0
2026-09-04 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.6,5.75,24.4,235.0
2026-09-05 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),20.0,5.99,22.8,182.0
2026-09-06 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),19.2,5.83,32.8,414.0
2026-09-07 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.2,6.02,24.1,135.0
2026-09-08 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.2,6.26,22.5,155.0
2026-09-09 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.9,6.03,26.8,131.0
2026-09-10 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.7,6.0,26.3,147.0
2026-09-11 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.1,6.56,29.8,131.0
2026-09-12 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.4,6.65,17.0,260.0
2026-09-13 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.8,5.95,19.1,316.0
2026-09-14 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.2,6.56,18.5,183.0
2026-09-15 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.8,6.65,21.1,179.0
2026-09-16 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.0,6.75,24.8,180.0
2026-09-17 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),16.4,6.37,15.1,246.0
2026-09-18 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),18.3,6.3,27.1,201.0
2026-09-19 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.1,6.64,23.1,194.0
2026-09-20 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),16.3,6.43,13.5,136.0
2026-09-21 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.0,6.21,31.8,128.0
2026-09-22 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),15.8,6.7,27.1,125.0
2026-09-23 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),16.6,6.64,16.8,164.0
2026-09-24 03:08:17.673166,19F/01H - Rio Mondego (Açude de Coimbra),17.2,6.42,20.7,153.0
