Date,Station,Water_Temp_C,Dissolved_Oxygen_mgL,Discharge_m3s,E_Coli_CFU
2026-09-05 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.6,9.08,8.5,110.0
2026-09-06 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.5,9.15,5.8,148.0
2026-09-07 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.2,9.18,4.7,105.0
2026-09-08 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.7,9.07,7.4,88.0
2026-09-09 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.7,8.84,4.2,99.0
2026-09-10 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,12.5,8.75,5.5,177.0
2026-09-11 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.7,9.01,6.9,132.0
2026-09-12 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.0,8.74,6.5,105.0
2026-09-13 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.8,8.9,8.6,94.0
2026-09-14 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.6,8.9,9.2,109.0
2026-09-15 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.7,9.08,3.5,105.0
2026-09-16 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,11.3,9.08,5.3,103.0
2026-09-17 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,9.6,9.6,3.6,184.0
2026-09-18 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.2,9.12,7.2,116.0
2026-09-19 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,9.9,9.62,5.8,126.0
2026-09-20 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.4,9.14,7.5,91.0
2026-09-21 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.3,9.23,4.2,92.0
2026-09-22 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.8,8.91,5.3,118.0
2026-09-23 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.3,8.97,1.7,142.0
2026-09-24 03:08:17.707643,NVE 6.38.0 - Akerselva Brekkefossen,10.6,9.23,3.2,85.0
